,date,is_clear_algo,mean_change
0,2023-01-12,False,27.31886904761904
1,2023-01-20,False,45.63298780487805
2,2023-02-22,False,40.24598684210527
3,2023-02-24,False,57.00276315789473
4,2023-02-26,False,31.595789473684206
5,2023-03-25,False,59.47407142857142
6,2023-04-26,False,49.607936507936536
7,2023-05-02,False,79.49888888888891
8,2023-05-03,False,57.294112903225816
9,2023-05-12,False,38.87266666666667
10,2023-05-20,False,46.90008474576269
11,2023-05-22,False,23.927118644067797
12,2023-06-01,False,45.99982456140352
13,2023-06-03,False,22.267631578947373
14,2023-06-09,False,60.148596491228076
15,2023-06-19,True,23.815175438596476
16,2023-06-21,False,35.86394736842105
17,2023-07-08,False,64.12724137931035
18,2023-07-09,False,51.0856896551724
19,2023-07-12,True,21.74181034482758
20,2023-07-30,False,45.52950819672131
21,2023-08-28,False,28.72431818181818
22,2023-09-21,False,51.28278571428572
23,2023-10-05,False,44.637602739726034
24,2023-10-10,True,25.65000000000001
25,2023-10-11,False,27.917800000000007
26,2023-10-19,False,31.4724025974026
27,2023-10-27,False,37.29967532467532
28,2023-11-08,False,40.46886075949367
29,2023-11-18,False,46.1529268292683
